         3929067 function calls (3923283 primitive calls) in 26.767 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 algos.py:50(_ForceNullParameters)
        1    0.000    0.000    0.000    0.000 algos.py:510(DSASignature)
        1    0.000    0.000    0.000    0.000 algos.py:561(EncryptionAlgorithmId)
        1    0.000    0.000    0.000    0.000 algos.py:613(EncryptionAlgorithm)
        1    0.000    0.000    0.002    0.002 api.py:11(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:1022(_HelpAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1041(_VersionAction)
        1    0.000    0.000    0.000    0.000 argparse.py:105(_AttributeHolder)
        1    0.000    0.000    0.000    0.000 argparse.py:1067(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1069(_ChoicesPseudoAction)
        1    0.000    0.000    0.000    0.000 argparse.py:1165(FileType)
        1    0.000    0.000    0.000    0.000 argparse.py:1219(Namespace)
        1    0.000    0.000    0.000    0.000 argparse.py:1239(_ActionsContainer)
        1    0.000    0.000    0.000    0.000 argparse.py:152(HelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1546(_ArgumentGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:1580(_MutuallyExclusiveGroup)
        1    0.000    0.000    0.000    0.000 argparse.py:1600(ArgumentParser)
        1    0.000    0.000    0.000    0.000 argparse.py:202(_Section)
        1    0.000    0.000    0.000    0.000 argparse.py:62(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:650(RawDescriptionHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:661(RawTextHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:672(ArgumentDefaultsHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:689(MetavarTypeHelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:722(ArgumentError)
        1    0.000    0.000    0.000    0.000 argparse.py:742(ArgumentTypeError)
        1    0.000    0.000    0.000    0.000 argparse.py:751(Action)
        1    0.000    0.000    0.000    0.000 argparse.py:842(_StoreAction)
        1    0.000    0.000    0.000    0.000 argparse.py:877(_StoreConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:900(_StoreTrueAction)
        1    0.000    0.000    0.000    0.000 argparse.py:917(_StoreFalseAction)
        1    0.000    0.000    0.000    0.000 argparse.py:934(_AppendAction)
        1    0.000    0.000    0.000    0.000 argparse.py:972(_AppendConstAction)
        1    0.000    0.000    0.000    0.000 argparse.py:999(_CountAction)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1109(IntegerFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1122(BoolFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1132(ComplexFloatingFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1161(ComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1168(LongComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1176(_TimelikeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1202(DatetimeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1234(TimedeltaFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1239(SubArrayFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1249(StructuredVoidFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1286(StructureFormat)
        2    0.000    0.000    0.000    0.000 arrayprint.py:1506(set_string_function)
        2    0.000    0.000    0.000    0.000 arrayprint.py:440(_recursive_guard)
        2    0.000    0.000    0.000    0.000 arrayprint.py:450(decorating_function)
        1    0.000    0.000    0.000    0.000 arrayprint.py:5(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:810(FloatingFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:953(FloatFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:960(LongFloatFormat)
        1    0.000    0.000    0.000    0.000 arraysetops.py:27(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:20(Arrayterator)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:238(NodeVisitor)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:275(NodeTransformer)
        1    0.000    0.000    0.000    0.000 auth.py:100(HTTPProxyAuth)
        1    0.000    0.000    0.000    0.000 auth.py:108(HTTPDigestAuth)
        1    0.000    0.000    0.000    0.000 auth.py:72(AuthBase)
        1    0.000    0.000    0.000    0.000 auth.py:79(HTTPBasicAuth)
        1    0.000    0.000    0.000    0.000 auth.py:8(<module>)
        1    0.000    0.000    0.000    0.000 base.py:185(CertificateRevocationList)
        1    0.000    0.000    0.000    0.000 base.py:292(CertificateSigningRequest)
        1    0.000    0.000    0.000    0.000 base.py:369(RevokedCertificate)
        1    0.000    0.000    0.000    0.000 base.py:39(Encoding)
        1    0.000    0.000    0.000    0.000 base.py:390(CertificateSigningRequestBuilder)
        1    0.000    0.000    0.000    0.000 base.py:431(CertificateBuilder)
        1    0.000    0.000    0.000    0.000 base.py:44(Version)
        1    0.000    0.000    0.000    0.000 base.py:47(PrivateFormat)
        2    0.000    0.000    0.040    0.020 base.py:5(<module>)
        1    0.000    0.000    0.000    0.000 base.py:53(PublicFormat)
        1    0.000    0.000    0.000    0.000 base.py:598(CertificateRevocationListBuilder)
        1    0.000    0.000    0.000    0.000 base.py:62(ParameterFormat)
        1    0.000    0.000    0.000    0.000 base.py:66(KeySerializationEncryption)
        1    0.000    0.000    0.000    0.000 base.py:693(RevokedCertificateBuilder)
        1    0.000    0.000    0.000    0.000 base.py:71(BestAvailableEncryption)
        1    0.000    0.000    0.000    0.000 base.py:73(InvalidVersion)
        1    0.000    0.000    0.000    0.000 base.py:79(Certificate)
        1    0.000    0.000    0.000    0.000 base.py:80(NoEncryption)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 base64mime.py:25(<module>)
        1    0.000    0.000    0.000    0.000 big5freq.py:43(<module>)
        1    0.000    0.000    0.000    0.000 big5prober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 big5prober.py:34(Big5Prober)
        1    0.000    0.000    0.000    0.000 binding.py:5(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:28(BZ2File)
        1    0.000    0.000    0.001    0.001 bz2.py:5(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:148(Calendar)
        1    0.000    0.000    0.000    0.000 calendar.py:154(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:160(setfirstweekday)
        1    0.000    0.000    0.000    0.000 calendar.py:24(IllegalMonthError)
        1    0.000    0.000    0.000    0.000 calendar.py:293(TextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:31(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 calendar.py:410(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:50(_localized_month)
        1    0.000    0.000    0.000    0.000 calendar.py:52(<listcomp>)
        1    0.000    0.000    0.000    0.000 calendar.py:546(different_locale)
        2    0.000    0.000    0.000    0.000 calendar.py:55(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:558(LocaleTextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:589(LocaleHTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:69(_localized_day)
        1    0.000    0.000    0.000    0.000 calendar.py:72(<listcomp>)
        2    0.000    0.000    0.000    0.000 calendar.py:74(__init__)
        1    0.000    0.000    0.005    0.005 case.py:1(<module>)
        1    0.000    0.000    0.000    0.000 case.py:128(_BaseTestCaseContext)
       10    0.000    0.000    0.000    0.000 case.py:1333(_deprecate)
        1    0.000    0.000    0.000    0.000 case.py:1355(FunctionTestCase)
        1    0.000    0.000    0.000    0.000 case.py:137(_AssertRaisesBaseContext)
        1    0.000    0.000    0.000    0.000 case.py:1413(_SubTest)
        1    0.000    0.000    0.000    0.000 case.py:184(_AssertRaisesContext)
        1    0.000    0.000    0.000    0.000 case.py:221(_AssertWarnsContext)
        1    0.000    0.000    0.000    0.000 case.py:25(SkipTest)
        1    0.000    0.000    0.000    0.000 case.py:278(_CapturingHandler)
        1    0.000    0.000    0.000    0.000 case.py:297(_AssertLogsContext)
        1    0.000    0.000    0.000    0.000 case.py:33(_ShouldStop)
        1    0.000    0.000    0.000    0.000 case.py:341(_OrderedChainMap)
        1    0.000    0.000    0.000    0.000 case.py:351(TestCase)
        1    0.000    0.000    0.000    0.000 case.py:38(_UnexpectedSuccess)
        1    0.000    0.000    0.000    0.000 case.py:398(__init__)
        6    0.000    0.000    0.000    0.000 case.py:430(addTypeEqualityFunc)
        1    0.000    0.000    0.000    0.000 case.py:44(_Outcome)
        1    0.000    0.000    0.000    0.000 certificate_transparency.py:13(LogEntryType)
        1    0.000    0.000    0.000    0.000 certificate_transparency.py:18(Version)
        1    0.000    0.000    0.000    0.000 certificate_transparency.py:22(SignedCertificateTimestamp)
        1    0.000    0.000    0.000    0.000 certificate_transparency.py:5(<module>)
        1    0.000    0.000    0.001    0.001 certs.py:14(<module>)
        1    0.000    0.000    0.000    0.000 chardistribution.py:113(EUCTWDistributionAnalysis)
        1    0.000    0.000    0.000    0.000 chardistribution.py:132(EUCKRDistributionAnalysis)
        1    0.000    0.000    0.000    0.000 chardistribution.py:151(GB2312DistributionAnalysis)
        1    0.000    0.000    0.000    0.000 chardistribution.py:170(Big5DistributionAnalysis)
        1    0.000    0.000    0.000    0.000 chardistribution.py:192(SJISDistributionAnalysis)
        1    0.000    0.000    0.000    0.000 chardistribution.py:217(EUCJPDistributionAnalysis)
        1    0.000    0.000    0.003    0.003 chardistribution.py:28(<module>)
        1    0.000    0.000    0.000    0.000 chardistribution.py:40(CharDistributionAnalysis)
        1    0.000    0.000    0.000    0.000 charset.py:167(Charset)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        1    0.000    0.000    0.001    0.001 charset.py:6(<module>)
        1    0.000    0.000    0.001    0.001 charsetgroupprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 charsetgroupprober.py:32(CharSetGroupProber)
        1    0.000    0.000    0.000    0.000 charsetprober.py:29(<module>)
        1    0.000    0.000    0.000    0.000 charsetprober.py:35(CharSetProber)
        1    0.000    0.000    0.000    0.000 chebyshev.py:2109(Chebyshev)
        1    0.000    0.000    0.000    0.000 chebyshev.py:88(<module>)
       96    0.001    0.000   11.766    0.123 client.py:1007(_send_output)
        1    0.000    0.000    0.000    0.000 client.py:106(<dictcomp>)
       96    0.001    0.000    0.003    0.000 client.py:1061(putrequest)
      416    0.002    0.000    0.003    0.000 client.py:1185(putheader)
       96    0.000    0.000   11.766    0.123 client.py:1213(endheaders)
       96    0.000    0.000   11.773    0.123 client.py:1226(request)
       96    0.001    0.000   11.773    0.123 client.py:1231(_send_request)
      224    0.000    0.000    0.000    0.000 client.py:1233(<genexpr>)
       96    0.001    0.000   11.066    0.115 client.py:1277(getresponse)
        1    0.000    0.000    0.000    0.000 client.py:1345(HTTPSConnection)
       96    0.001    0.000    0.495    0.005 client.py:1352(__init__)
       96    0.001    0.000   11.746    0.122 client.py:1381(connect)
        1    0.000    0.000    0.000    0.000 client.py:1396(HTTPException)
        1    0.000    0.000    0.000    0.000 client.py:1401(NotConnected)
        1    0.000    0.000    0.000    0.000 client.py:1404(InvalidURL)
        1    0.000    0.000    0.000    0.000 client.py:1407(UnknownProtocol)
        1    0.000    0.000    0.000    0.000 client.py:1412(UnknownTransferEncoding)
        1    0.000    0.000    0.000    0.000 client.py:1415(UnimplementedFileMode)
        1    0.000    0.000    0.000    0.000 client.py:1418(IncompleteRead)
        1    0.000    0.000    0.000    0.000 client.py:1433(ImproperConnectionState)
        1    0.000    0.000    0.000    0.000 client.py:1436(CannotSendRequest)
        1    0.000    0.000    0.000    0.000 client.py:1439(CannotSendHeader)
        1    0.000    0.000    0.000    0.000 client.py:1442(ResponseNotReady)
        1    0.000    0.000    0.000    0.000 client.py:1445(BadStatusLine)
        1    0.000    0.000    0.000    0.000 client.py:1452(LineTooLong)
        1    0.000    0.000    0.000    0.000 client.py:1457(RemoteDisconnected)
       32    0.000    0.000    0.000    0.000 client.py:148(_encode)
        1    0.000    0.000    0.000    0.000 client.py:163(HTTPMessage)
       96    0.007    0.000    0.076    0.001 client.py:193(parse_headers)
        1    0.000    0.000    0.000    0.000 client.py:217(HTTPResponse)
       96    0.001    0.000    0.006    0.000 client.py:226(__init__)
       96    0.003    0.000   10.975    0.114 client.py:256(_read_status)
       96    0.003    0.000   11.059    0.115 client.py:289(begin)
       96    0.000    0.000    0.001    0.000 client.py:369(_check_close)
       96    0.000    0.000    0.002    0.000 client.py:398(_close_conn)
       96    0.001    0.000    0.001    0.000 client.py:403(close)
       96    0.000    0.000    0.000    0.000 client.py:415(flush)
       96    0.000    0.000    0.037    0.000 client.py:436(read)
      192    0.001    0.000    0.028    0.000 client.py:502(_read_next_chunk_size)
       96    0.000    0.000    0.000    0.000 client.py:518(_read_and_discard_trailer)
      192    0.002    0.000    0.034    0.000 client.py:532(_get_chunk_left)
       96    0.001    0.000    0.036    0.000 client.py:556(_readall_chunked)
      192    0.001    0.000    0.002    0.000 client.py:594(_safe_read)
        1    0.000    0.000    0.012    0.012 client.py:69(<module>)
        1    0.000    0.000    0.000    0.000 client.py:779(HTTPConnection)
       96    0.000    0.000    0.000    0.000 client.py:795(_get_content_length)
       96    0.001    0.000    0.001    0.000 client.py:827(__init__)
       96    0.000    0.000    0.001    0.000 client.py:871(_get_hostport)
       96    0.001    0.000    2.951    0.031 client.py:925(connect)
      128    0.001    0.000   11.766    0.092 client.py:948(send)
      512    0.000    0.000    0.000    0.000 client.py:986(_output)
        1    0.000    0.000    0.000    0.000 codecs.py:94(__new__)
        1    0.000    0.000    0.000    0.000 codingstatemachine.py:28(<module>)
        1    0.000    0.000    0.000    0.000 codingstatemachine.py:33(CodingStateMachine)
        1    0.000    0.000    0.000    0.000 compat.py:22(<module>)
        1    0.000    0.000    0.013    0.013 compat.py:9(<module>)
        2    0.000    0.000    0.007    0.003 connection.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connection.py:103(_has_ipv6)
        1    0.000    0.000    0.000    0.000 connection.py:238(HTTPSConnection)
        1    0.000    0.000    0.000    0.000 connection.py:276(VerifiedHTTPSConnection)
        1    0.000    0.000    0.000    0.000 connection.py:66(DummyConnection)
        1    0.000    0.000    0.000    0.000 connection.py:71(HTTPConnection)
        1    0.000    0.000    0.036    0.036 connectionpool.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connectionpool.py:55(ConnectionPool)
        1    0.000    0.000    0.000    0.000 connectionpool.py:736(HTTPSConnectionPool)
        1    0.000    0.000    0.000    0.000 connectionpool.py:95(HTTPConnectionPool)
        1    0.000    0.000    0.002    0.002 constant_time.py:5(<module>)
       10    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1219(Absent)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1221(CookieJar)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1750(LoadError)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1752(FileCookieJar)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1838(LWPCookieJar)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1958(MozillaCookieJar)
        1    0.000    0.000    0.004    0.004 cookiejar.py:26(<module>)
        1    0.000    0.000    0.000    0.000 cookiejar.py:729(Cookie)
        1    0.000    0.000    0.000    0.000 cookiejar.py:827(CookiePolicy)
        1    0.000    0.000    0.000    0.000 cookiejar.py:860(DefaultCookiePolicy)
        1    0.000    0.000    0.000    0.000 cookies.py:10(<module>)
        1    0.000    0.000    0.002    0.002 cookies.py:127(<module>)
        1    0.000    0.000    0.000    0.000 cookies.py:144(CookieError)
        1    0.000    0.000    0.000    0.000 cookies.py:164(<dictcomp>)
        1    0.000    0.000    0.000    0.000 cookies.py:165(CookieConflictError)
        1    0.000    0.000    0.000    0.000 cookies.py:171(RequestsCookieJar)
        1    0.000    0.000    0.000    0.000 cookies.py:25(MockRequest)
        1    0.000    0.000    0.000    0.000 cookies.py:253(Morsel)
        1    0.000    0.000    0.000    0.000 cookies.py:457(BaseCookie)
        1    0.000    0.000    0.000    0.000 cookies.py:597(SimpleCookie)
        1    0.000    0.000    0.000    0.000 cookies.py:97(MockResponse)
        1    0.000    0.000    0.000    0.000 copy.py:49(<module>)
        1    0.000    0.000    0.000    0.000 copy.py:55(Error)
        1    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        1    0.000    0.000    0.000    0.000 copyreg.py:22(constructor)
        1    0.000    0.000    0.001    0.001 core.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:1124(_DomainedBinaryOperation)
        6    0.000    0.000    0.000    0.000 core.py:1145(__init__)
        1    0.000    0.000    0.000    0.000 core.py:12(where)
        4    0.000    0.000    0.000    0.000 core.py:126(doc_note)
        1    0.000    0.000    0.000    0.000 core.py:1283(Concat)
        1    0.000    0.000    0.000    0.000 core.py:1283(_replace_dtype_fields_recursive)
        1    0.000    0.000    0.000    0.000 core.py:1315(_replace_dtype_fields)
        1    0.000    0.000    0.000    0.000 core.py:1329(make_mask_descr)
        3    0.000    0.000    0.000    0.000 core.py:1362(getmask)
       44    0.000    0.000    0.000    0.000 core.py:149(get_object_signature)
        1    0.000    0.000    0.000    0.000 core.py:1572(Primitive)
        1    0.000    0.000    0.000    0.000 core.py:16(IDNAError)
        1    0.000    0.000    0.000    0.000 core.py:166(MAError)
        1    0.000    0.000    0.000    0.000 core.py:168(Asn1Value)
        1    0.000    0.000    0.000    0.000 core.py:1695(AbstractString)
        1    0.000    0.000    0.000    0.000 core.py:174(MaskError)
        1    0.000    0.000    0.000    0.000 core.py:1776(Boolean)
        1    0.000    0.000    0.000    0.000 core.py:1829(Integer)
        1    0.000    0.000    0.000    0.000 core.py:1910(BitString)
        1    0.000    0.000    0.000    0.000 core.py:206(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:208(<listcomp>)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
        1    0.000    0.000    0.000    0.000 core.py:21(IDNABidiError)
        1    0.000    0.000    0.000    0.000 core.py:2198(OctetBitString)
        1    0.000    0.000    0.000    0.000 core.py:2286(IntegerBitString)
        1    0.000    0.000    0.000    0.000 core.py:232(__init__)
        1    0.000    0.000    0.000    0.000 core.py:2370(OctetString)
        1    0.000    0.000    0.000    0.000 core.py:2378(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 core.py:2384(__init__)
        1    0.000    0.000    0.000    0.000 core.py:2448(IntegerOctetString)
        1    0.000    0.000    0.000    0.000 core.py:2501(ParsableOctetString)
        8    0.000    0.000    0.000    0.000 core.py:2551(_arraymethod)
        1    0.000    0.000    0.000    0.000 core.py:2596(MaskedIterator)
        1    0.000    0.000    0.000    0.000 core.py:26(InvalidCodepoint)
        1    0.000    0.000    0.000    0.000 core.py:2665(ParsableOctetBitString)
        1    0.000    0.000    0.000    0.000 core.py:2706(Null)
        1    0.000    0.000    0.000    0.000 core.py:2710(MaskedArray)
        1    0.000    0.000    0.000    0.000 core.py:2737(ObjectIdentifier)
        1    0.000    0.000    0.000    0.000 core.py:2775(__new__)
        2    0.000    0.000    0.000    0.000 core.py:2905(_update_from)
        2    0.000    0.000    0.000    0.000 core.py:2931(__array_finalize__)
        1    0.000    0.000    0.000    0.000 core.py:2940(ObjectDescriptor)
        1    0.000    0.000    0.000    0.000 core.py:2948(InstanceOf)
        1    0.000    0.000    0.000    0.000 core.py:2956(Real)
        1    0.000    0.000    0.000    0.000 core.py:2964(Enumerated)
        1    0.000    0.000    0.000    0.000 core.py:3032(UTF8String)
        1    0.000    0.000    0.000    0.000 core.py:3041(RelativeOid)
        1    0.000    0.000    0.000    0.000 core.py:3050(Sequence)
        1    0.000    0.000    0.000    0.000 core.py:3080(view)
        1    0.000    0.000    0.000    0.000 core.py:31(InvalidCodepointContext)
        4    0.000    0.000    0.000    0.000 core.py:3350(dtype)
        2    0.000    0.000    0.000    0.000 core.py:3366(shape)
        1    0.000    0.000    0.000    0.000 core.py:3848(SequenceOf)
        1    0.000    0.000    0.000    0.000 core.py:4298(Set)
        1    0.000    0.000    0.000    0.000 core.py:4484(SetOf)
        1    0.000    0.000    0.000    0.000 core.py:4517(EmbeddedPdv)
        1    0.000    0.000    0.000    0.000 core.py:4525(NumericString)
        1    0.000    0.000    0.000    0.000 core.py:4534(PrintableString)
        1    0.000    0.000    0.000    0.000 core.py:4543(TeletexString)
        1    0.000    0.000    0.000    0.000 core.py:4552(VideotexString)
        1    0.000    0.000    0.000    0.000 core.py:4560(IA5String)
        1    0.000    0.000    0.000    0.000 core.py:4569(AbstractTime)
        1    0.000    0.000    0.000    0.000 core.py:4615(UTCTime)
        1    0.000    0.000    0.000    0.000 core.py:4671(GeneralizedTime)
        1    0.000    0.000    0.003    0.003 core.py:47(<module>)
        1    0.000    0.000    0.000    0.000 core.py:4744(GraphicString)
        1    0.000    0.000    0.000    0.000 core.py:4754(VisibleString)
        1    0.000    0.000    0.000    0.000 core.py:4763(GeneralString)
        1    0.000    0.000    0.000    0.000 core.py:4773(UniversalString)
        1    0.000    0.000    0.000    0.000 core.py:4782(CharacterString)
        1    0.000    0.000    0.000    0.000 core.py:4792(BMPString)
        1    0.000    0.000    0.000    0.000 core.py:6060(mvoid)
        1    0.000    0.000    0.000    0.000 core.py:622(ValueMap)
        1    0.000    0.000    0.000    0.000 core.py:6256(MaskedConstant)
        4    0.000    0.000    0.000    0.000 core.py:6260(__has_singleton)
        1    0.000    0.000    0.000    0.000 core.py:6266(__new__)
        1    0.000    0.000    0.000    0.000 core.py:6284(__array_finalize__)
        2    0.000    0.000    0.000    0.000 core.py:6348(__setattr__)
        1    0.000    0.000    0.000    0.000 core.py:6440(_extrema_operation)
        2    0.000    0.000    0.000    0.000 core.py:6449(__init__)
        1    0.000    0.000    0.000    0.000 core.py:649(Castable)
        1    0.000    0.000    0.000    0.000 core.py:6557(_frommethod)
       26    0.000    0.000    0.000    0.000 core.py:6568(__init__)
       26    0.000    0.000    0.000    0.000 core.py:6573(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:693(Constructable)
        1    0.000    0.000    0.000    0.000 core.py:764(Void)
        1    0.000    0.000    0.000    0.000 core.py:796(_DomainCheckInterval)
        1    0.000    0.000    0.000    0.000 core.py:8(<module>)
        1    0.000    0.000    0.000    0.000 core.py:8048(_convert2ma)
        3    0.000    0.000    0.000    0.000 core.py:805(__init__)
        8    0.000    0.000    0.000    0.000 core.py:8061(__init__)
        8    0.000    0.000    0.000    0.000 core.py:8066(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:821(Any)
        1    0.000    0.000    0.000    0.000 core.py:821(_DomainTan)
        1    0.000    0.000    0.000    0.000 core.py:829(__init__)
        1    0.000    0.000    0.000    0.000 core.py:839(_DomainSafeDivide)
        6    0.000    0.000    0.000    0.000 core.py:845(__init__)
        1    0.000    0.000    0.000    0.000 core.py:860(_DomainGreater)
        3    0.000    0.000    0.000    0.000 core.py:866(__init__)
        1    0.000    0.000    0.000    0.000 core.py:876(_DomainGreaterEqual)
        2    0.000    0.000    0.000    0.000 core.py:882(__init__)
        1    0.000    0.000    0.000    0.000 core.py:892(_MaskedUFunc)
       53    0.000    0.000    0.000    0.000 core.py:893(__init__)
        1    0.000    0.000    0.000    0.000 core.py:902(_MaskedUnaryOperation)
       27    0.000    0.000    0.000    0.000 core.py:920(__init__)
        1    0.000    0.000    0.000    0.000 core.py:95(MaskedArrayFutureWarning)
        1    0.000    0.000    0.000    0.000 core.py:971(Choice)
        1    0.000    0.000    0.000    0.000 core.py:976(_MaskedBinaryOperation)
       18    0.000    0.000    0.000    0.000 core.py:996(__init__)
        1    0.000    0.000    0.000    0.000 cp949prober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 cp949prober.py:34(CP949Prober)
        1    0.000    0.000    0.045    0.045 crypto.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:177(_ndptr)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:323(_get_typecodes)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:332(<dictcomp>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1081(tzinfo)
        1    0.000    0.000    0.000    0.000 datetime.py:1151(time)
        2    0.000    0.000    0.000    0.000 datetime.py:1176(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1488(datetime)
        3    0.000    0.000    0.000    0.000 datetime.py:1496(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:2097(timezone)
        3    0.000    0.000    0.000    0.000 datetime.py:2117(_create)
       35    0.000    0.000    0.000    0.000 datetime.py:378(_check_int_field)
        5    0.000    0.000    0.000    0.000 datetime.py:395(_check_date_fields)
        3    0.000    0.000    0.000    0.000 datetime.py:40(_days_before_year)
        5    0.000    0.000    0.000    0.000 datetime.py:408(_check_time_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:425(_check_tzinfo_arg)
        5    0.000    0.000    0.000    0.000 datetime.py:45(_days_in_month)
        1    0.000    0.000    0.000    0.000 datetime.py:453(timedelta)
        9    0.000    0.000    0.000    0.000 datetime.py:472(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:5(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:645(__neg__)
        1    0.000    0.000    0.000    0.000 datetime.py:773(date)
        2    0.000    0.000    0.000    0.000 datetime.py:803(__new__)
        1    0.000    0.000    0.001    0.001 decimal.py:2(<module>)
        1    0.000    0.000    0.001    0.001 decoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 decoder.py:20(JSONDecodeError)
        1    0.000    0.000    0.000    0.000 decoder.py:254(JSONDecoder)
        1    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
       32    0.000    0.000    0.001    0.000 decoder.py:332(decode)
       32    0.001    0.000    0.001    0.000 decoder.py:343(raw_decode)
        1    0.000    0.000    0.000    0.000 decorators.py:15(<module>)
        1    0.000    0.000    0.000    0.000 decorators.py:99(skipif)
        1    0.000    0.000    0.000    0.000 defchararray.py:1669(chararray)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.003    0.003 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:70(matrix)
        1    0.000    0.000    0.000    0.000 difflib.py:1707(HtmlDiff)
        1    0.000    0.000    0.000    0.000 difflib.py:27(<module>)
        1    0.000    0.000    0.000    0.000 difflib.py:43(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 difflib.py:751(Differ)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dis.py:199(Instruction)
        1    0.000    0.000    0.000    0.000 dis.py:461(Bytecode)
        1    0.000    0.000    0.000    0.000 dsa.py:14(DSAParameters)
        1    0.000    0.000    0.000    0.000 dsa.py:150(DSAParameterNumbers)
        1    0.000    0.000    0.000    0.000 dsa.py:189(DSAPublicNumbers)
        1    0.000    0.000    0.000    0.000 dsa.py:227(DSAPrivateNumbers)
        1    0.000    0.000    0.000    0.000 dsa.py:23(DSAParametersWithNumbers)
        1    0.000    0.000    0.000    0.000 dsa.py:32(DSAPrivateKey)
