         3929067 function calls (3923283 primitive calls) in 26.767 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      318    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      318    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
      318    0.061    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      422    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      318    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       40    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        4    0.000    0.000    0.000    0.000 <string>:1(__new__)
       64    0.001    0.000   15.890    0.248 Algorithm_fight.py:142(get_battle)
       32    0.030    0.001    8.021    0.251 Algorithm_fight.py:155(decode_data)
       32    0.001    0.000    3.058    0.096 Algorithm_fight.py:168(my_choose)
      800    0.000    0.000    0.000    0.000 Algorithm_fight.py:180(<lambda>)
       32    0.001    0.000    7.483    0.234 Algorithm_fight.py:204(send_2_system)
       32    0.055    0.002   26.529    0.829 Algorithm_fight.py:221(_start)
        1    0.000    0.000   26.530   26.530 Algorithm_fight.py:239(main)
      416    0.000    0.000    0.000    0.000 Algorithm_fight.py:29(chg)
        1    0.000    0.000    0.000    0.000 Algorithm_fight.py:37(Hands)
    50944    0.019    0.000    0.025    0.000 Algorithm_fight.py:38(__init__)
   292872    0.034    0.000    0.034    0.000 Algorithm_fight.py:42(__lt__)
       32    0.125    0.004    3.056    0.096 Algorithm_fight.py:49(RecommendHands)
        1    0.000    0.000   26.767   26.767 Algorithm_fight.py:7(<module>)
        1    0.000    0.000    0.000    0.000 GetWeight.py:7(<module>)
    50944    0.240    0.000    2.790    0.000 GetWeight.py:99(get_weight)
        1    0.000    0.000    0.000    0.000 __about__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
       14    0.000    0.000    0.160    0.011 __init__.py:1(<module>)
        2    0.000    0.000    0.005    0.003 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1019(FileHandler)
        1    0.000    0.000    0.103    0.103 __init__.py:106(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1088(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1094(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1112(PlaceHolder)
        2    0.000    0.000    0.000    0.000 __init__.py:1118(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:1124(append)
        1    0.000    0.000    0.000    0.000 __init__.py:1154(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1159(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:1170(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:12(AsymmetricSignatureContext)
        8    0.000    0.000    0.000    0.000 __init__.py:1221(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1245(_fixupChildren)
        1    0.000    0.000    0.000    0.000 __init__.py:1275(Logger)
        9    0.000    0.000    0.000    0.000 __init__.py:1290(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        2    0.000    0.000    0.000    0.000 __init__.py:1480(addHandler)
        1    0.000    0.000    0.005    0.005 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:151(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:160(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:1616(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1622(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1633(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:164(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ulong)
       32    0.000    0.000    0.000    0.000 __init__.py:183(dumps)
       12    0.000    0.000    0.000    0.000 __init__.py:187(_checkLevel)
        8    0.000    0.000    0.000    0.000 __init__.py:1879(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_float)
        1    0.000    0.000    0.017    0.017 __init__.py:19(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_double)
